,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
164,21.0,6,231.0,110.0,3039.0,15.0,75,1
165,20.0,8,262.0,110.0,3221.0,13.5,75,1
166,13.0,8,302.0,129.0,3169.0,12.0,75,1
167,29.0,4,97.0,75.0,2171.0,16.0,75,3
168,23.0,4,140.0,83.0,2639.0,17.0,75,1
169,20.0,6,232.0,100.0,2914.0,16.0,75,1
170,23.0,4,140.0,78.0,2592.0,18.5,75,1
171,24.0,4,134.0,96.0,2702.0,13.5,75,3
172,25.0,4,90.0,71.0,2223.0,16.5,75,2
173,24.0,4,119.0,97.0,2545.0,17.0,75,3
174,18.0,6,171.0,97.0,2984.0,14.5,75,1
175,29.0,4,90.0,70.0,1937.0,14.0,75,2
176,19.0,6,232.0,90.0,3211.0,17.0,75,1
177,23.0,4,115.0,95.0,2694.0,15.0,75,2
178,23.0,4,120.0,88.0,2957.0,17.0,75,2
179,22.0,4,121.0,98.0,2945.0,14.5,75,2
180,25.0,4,121.0,115.0,2671.0,13.5,75,2
181,33.0,4,91.0,53.0,1795.0,17.5,75,3
182,28.0,4,107.0,86.0,2464.0,15.5,76,2
183,25.0,4,116.0,81.0,2220.0,16.9,76,2
184,25.0,4,140.0,92.0,2572.0,14.9,76,1
185,26.0,4,98.0,79.0,2255.0,17.7,76,1
186,27.0,4,101.0,83.0,2202.0,15.3,76,2
187,17.5,8,305.0,140.0,4215.0,13.0,76,1
188,16.0,8,318.0,150.0,4190.0,13.0,76,1
189,15.5,8,304.0,120.0,3962.0,13.9,76,1
190,14.5,8,351.0,152.0,4215.0,12.8,76,1
191,22.0,6,225.0,100.0,3233.0,15.4,76,1
192,22.0,6,250.0,105.0,3353.0,14.5,76,1
193,24.0,6,200.0,81.0,3012.0,17.6,76,1
194,22.5,6,232.0,90.0,3085.0,17.6,76,1
195,29.0,4,85.0,52.0,2035.0,22.2,76,1
196,24.5,4,98.0,60.0,2164.0,22.1,76,1
197,29.0,4,90.0,70.0,1937.0,14.2,76,2
198,33.0,4,91.0,53.0,1795.0,17.4,76,3
199,20.0,6,225.0,100.0,3651.0,17.7,76,1
200,18.0,6,250.0,78.0,3574.0,21.0,76,1
201,18.5,6,250.0,110.0,3645.0,16.2,76,1
202,17.5,6,258.0,95.0,3193.0,17.8,76,1
203,29.5,4,97.0,71.0,1825.0,12.2,76,2
204,32.0,4,85.0,70.0,1990.0,17.0,76,3
205,28.0,4,97.0,75.0,2155.0,16.4,76,3
206,26.5,4,140.0,72.0,2565.0,13.6,76,1
207,20.0,4,130.0,102.0,3150.0,15.7,76,2
208,13.0,8,318.0,150.0,3940.0,13.2,76,1
209,19.0,4,120.0,88.0,3270.0,21.9,76,2
210,19.0,6,156.0,108.0,2930.0,15.5,76,3
211,16.5,6,168.0,120.0,3820.0,16.7,76,2
212,16.5,8,350.0,180.0,4380.0,12.1,76,1
213,13.0,8,350.0,145.0,4055.0,12.0,76,1
214,13.0,8,302.0,130.0,3870.0,15.0,76,1
215,13.0,8,318.0,150.0,3755.0,14.0,76,1
216,31.5,4,98.0,68.0,2045.0,18.5,77,3
217,30.0,4,111.0,80.0,2155.0,14.8,77,1
218,36.0,4,79.0,58.0,1825.0,18.6,77,2
219,25.5,4,122.0,96.0,2300.0,15.5,77,1
220,33.5,4,85.0,70.0,1945.0,16.8,77,3
221,17.5,8,305.0,145.0,3880.0,12.5,77,1
222,17.0,8,260.0,110.0,4060.0,19.0,77,1
223,15.5,8,318.0,145.0,4140.0,13.7,77,1
224,15.0,8,302.0,130.0,4295.0,14.9,77,1
225,17.5,6,250.0,110.0,3520.0,16.4,77,1
226,20.5,6,231.0,105.0,3425.0,16.9,77,1
227,19.0,6,225.0,100.0,3630.0,17.7,77,1
228,18.5,6,250.0,98.0,3525.0,19.0,77,1
229,16.0,8,400.0,180.0,4220.0,11.1,77,1
230,15.5,8,350.0,170.0,4165.0,11.4,77,1
231,15.5,8,400.0,190.0,4325.0,12.2,77,1
232,16.0,8,351.0,149.0,4335.0,14.5,77,1
233,29.0,4,97.0,78.0,1940.0,14.5,77,2
234,24.5,4,151.0,88.0,2740.0,16.0,77,1
235,26.0,4,97.0,75.0,2265.0,18.2,77,3
236,25.5,4,140.0,89.0,2755.0,15.8,77,1
237,30.5,4,98.0,63.0,2051.0,17.0,77,1
238,33.5,4,98.0,83.0,2075.0,15.9,77,1
239,30.0,4,97.0,67.0,1985.0,16.4,77,3
240,30.5,4,97.0,78.0,2190.0,14.1,77,2
241,22.0,6,146.0,97.0,2815.0,14.5,77,3
242,21.5,4,121.0,110.0,2600.0,12.8,77,2
243,21.5,3,80.0,110.0,2720.0,13.5,77,3
244,43.1,4,90.0,48.0,1985.0,21.5,78,2
245,36.1,4,98.0,66.0,1800.0,14.4,78,1
246,32.8,4,78.0,52.0,1985.0,19.4,78,3
247,39.4,4,85.0,70.0,2070.0,18.6,78,3
248,36.1,4,91.0,60.0,1800.0,16.4,78,3
249,19.9,8,260.0,110.0,3365.0,15.5,78,1
250,19.4,8,318.0,140.0,3735.0,13.2,78,1
251,20.2,8,302.0,139.0,3570.0,12.8,78,1
252,19.2,6,231.0,105.0,3535.0,19.2,78,1
253,20.5,6,200.0,95.0,3155.0,18.2,78,1
254,20.2,6,200.0,85.0,2965.0,15.8,78,1
255,25.1,4,140.0,88.0,2720.0,15.4,78,1
256,20.5,6,225.0,100.0,3430.0,17.2,78,1
257,19.4,6,232.0,90.0,3210.0,17.2,78,1
258,20.6,6,231.0,105.0,3380.0,15.8,78,1
259,20.8,6,200.0,85.0,3070.0,16.7,78,1
260,18.6,6,225.0,110.0,3620.0,18.7,78,1
261,18.1,6,258.0,120.0,3410.0,15.1,78,1
262,19.2,8,305.0,145.0,3425.0,13.2,78,1
263,17.7,6,231.0,165.0,3445.0,13.4,78,1
264,18.1,8,302.0,139.0,3205.0,11.2,78,1
265,17.5,8,318.0,140.0,4080.0,13.7,78,1
266,30.0,4,98.0,68.0,2155.0,16.5,78,1
267,27.5,4,134.0,95.0,2560.0,14.2,78,3
268,27.2,4,119.0,97.0,2300.0,14.7,78,3
269,30.9,4,105.0,75.0,2230.0,14.5,78,1
270,21.1,4,134.0,95.0,2515.0,14.8,78,3
271,23.2,4,156.0,105.0,2745.0,16.7,78,1
272,23.8,4,151.0,85.0,2855.0,17.6,78,1
273,23.9,4,119.0,97.0,2405.0,14.9,78,3
274,20.3,5,131.0,103.0,2830.0,15.9,78,2
275,17.0,6,163.0,125.0,3140.0,13.6,78,2
276,21.6,4,121.0,115.0,2795.0,15.7,78,2
277,16.2,6,163.0,133.0,3410.0,15.8,78,2
278,31.5,4,89.0,71.0,1990.0,14.9,78,2
279,29.5,4,98.0,68.0,2135.0,16.6,78,3
280,21.5,6,231.0,115.0,3245.0,15.4,79,1
281,19.8,6,200.0,85.0,2990.0,18.2,79,1
282,22.3,4,140.0,88.0,2890.0,17.3,79,1
283,20.2,6,232.0,90.0,3265.0,18.2,79,1
284,20.6,6,225.0,110.0,3360.0,16.6,79,1
285,17.0,8,305.0,130.0,3840.0,15.4,79,1
286,17.6,8,302.0,129.0,3725.0,13.4,79,1
287,16.5,8,351.0,138.0,3955.0,13.2,79,1
288,18.2,8,318.0,135.0,3830.0,15.2,79,1
289,16.9,8,350.0,155.0,4360.0,14.9,79,1
290,15.5,8,351.0,142.0,4054.0,14.3,79,1
291,19.2,8,267.0,125.0,3605.0,15.0,79,1
292,18.5,8,360.0,150.0,3940.0,13.0,79,1
293,31.9,4,89.0,71.0,1925.0,14.0,79,2
294,34.1,4,86.0,65.0,1975.0,15.2,79,3
295,35.7,4,98.0,80.0,1915.0,14.4,79,1
296,27.4,4,121.0,80.0,2670.0,15.0,79,1
297,25.4,5,183.0,77.0,3530.0,20.1,79,2
298,23.0,8,350.0,125.0,3900.0,17.4,79,1
299,27.2,4,141.0,71.0,3190.0,24.8,79,2
300,23.9,8,260.0,90.0,3420.0,22.2,79,1
301,34.2,4,105.0,70.0,2200.0,13.2,79,1
302,34.5,4,105.0,70.0,2150.0,14.9,79,1
303,31.8,4,85.0,65.0,2020.0,19.2,79,3
304,37.3,4,91.0,69.0,2130.0,14.7,79,2
305,28.4,4,151.0,90.0,2670.0,16.0,79,1
306,28.8,6,173.0,115.0,2595.0,11.3,79,1
307,26.8,6,173.0,115.0,2700.0,12.9,79,1
308,33.5,4,151.0,90.0,2556.0,13.2,79,1
309,41.5,4,98.0,76.0,2144.0,14.7,80,2
310,38.1,4,89.0,60.0,1968.0,18.8,80,3
311,32.1,4,98.0,70.0,2120.0,15.5,80,1
312,37.2,4,86.0,65.0,2019.0,16.4,80,3
313,28.0,4,151.0,90.0,2678.0,16.5,80,1
314,26.4,4,140.0,88.0,2870.0,18.1,80,1
315,24.3,4,151.0,90.0,3003.0,20.1,80,1
316,19.1,6,225.0,90.0,3381.0,18.7,80,1
317,34.3,4,97.0,78.0,2188.0,15.8,80,2
318,29.8,4,134.0,90.0,2711.0,15.5,80,3
319,31.3,4,120.0,75.0,2542.0,17.5,80,3
320,37.0,4,119.0,92.0,2434.0,15.0,80,3
321,32.2,4,108.0,75.0,2265.0,15.2,80,3
322,46.6,4,86.0,65.0,2110.0,17.9,80,3
323,27.9,4,156.0,105.0,2800.0,14.4,80,1
324,40.8,4,85.0,65.0,2110.0,19.2,80,3
325,44.3,4,90.0,48.0,2085.0,21.7,80,2
326,43.4,4,90.0,48.0,2335.0,23.7,80,2
327,36.4,5,121.0,67.0,2950.0,19.9,80,2
328,30.0,4,146.0,67.0,3250.0,21.8,80,2
329,44.6,4,91.0,67.0,1850.0,13.8,80,3
330,40.9,4,85.0,,1835.0,17.3,80,2
331,33.8,4,97.0,67.0,2145.0,18.0,80,3
332,29.8,4,89.0,62.0,1845.0,15.3,80,2
333,32.7,6,168.0,132.0,2910.0,11.4,80,3
334,23.7,3,70.0,100.0,2420.0,12.5,80,3
335,35.0,4,122.0,88.0,2500.0,15.1,80,2
336,23.6,4,140.0,,2905.0,14.3,80,1
337,32.4,4,107.0,72.0,2290.0,17.0,80,3
338,27.2,4,135.0,84.0,2490.0,15.7,81,1
339,26.6,4,151.0,84.0,2635.0,16.4,81,1
340,25.8,4,156.0,92.0,2620.0,14.4,81,1
341,23.5,6,173.0,110.0,2725.0,12.6,81,1
342,30.0,4,135.0,84.0,2385.0,12.9,81,1
343,39.1,4,79.0,58.0,1755.0,16.9,81,3
344,39.0,4,86.0,64.0,1875.0,16.4,81,1
345,35.1,4,81.0,60.0,1760.0,16.1,81,3
346,32.3,4,97.0,67.0,2065.0,17.8,81,3
347,37.0,4,85.0,65.0,1975.0,19.4,81,3
348,37.7,4,89.0,62.0,2050.0,17.3,81,3
349,34.1,4,91.0,68.0,1985.0,16.0,81,3
350,34.7,4,105.0,63.0,2215.0,14.9,81,1
351,34.4,4,98.0,65.0,2045.0,16.2,81,1
352,29.9,4,98.0,65.0,2380.0,20.7,81,1
353,33.0,4,105.0,74.0,2190.0,14.2,81,2
354,34.5,4,100.0,,2320.0,15.8,81,2
355,33.7,4,107.0,75.0,2210.0,14.4,81,3
356,32.4,4,108.0,75.0,2350.0,16.8,81,3
357,32.9,4,119.0,100.0,2615.0,14.8,81,3
358,31.6,4,120.0,74.0,2635.0,18.3,81,3
359,28.1,4,141.0,80.0,3230.0,20.4,81,2
360,30.7,6,145.0,76.0,3160.0,19.6,81,2
361,25.4,6,168.0,116.0,2900.0,12.6,81,3
362,24.2,6,146.0,120.0,2930.0,13.8,81,3
363,22.4,6,231.0,110.0,3415.0,15.8,81,1
364,26.6,8,350.0,105.0,3725.0,19.0,81,1
365,20.2,6,200.0,88.0,3060.0,17.1,81,1
366,17.6,6,225.0,85.0,3465.0,16.6,81,1
367,28.0,4,112.0,88.0,2605.0,19.6,82,1
368,27.0,4,112.0,88.0,2640.0,18.6,82,1
369,34.0,4,112.0,88.0,2395.0,18.0,82,1
370,31.0,4,112.0,85.0,2575.0,16.2,82,1
371,29.0,4,135.0,84.0,2525.0,16.0,82,1
372,27.0,4,151.0,90.0,2735.0,18.0,82,1
373,24.0,4,140.0,92.0,2865.0,16.4,82,1
374,23.0,4,151.0,,3035.0,20.5,82,1
375,36.0,4,105.0,74.0,1980.0,15.3,82,2
376,37.0,4,91.0,68.0,2025.0,18.2,82,3
377,31.0,4,91.0,68.0,1970.0,17.6,82,3
378,38.0,4,105.0,63.0,2125.0,14.7,82,1
379,36.0,4,98.0,70.0,2125.0,17.3,82,1
380,36.0,4,120.0,88.0,2160.0,14.5,82,3
381,36.0,4,107.0,75.0,2205.0,14.5,82,3
382,34.0,4,108.0,70.0,2245.0,16.9,82,3
383,38.0,4,91.0,67.0,1965.0,15.0,82,3
384,32.0,4,91.0,67.0,1965.0,15.7,82,3
385,38.0,4,91.0,67.0,1995.0,16.2,82,3
386,25.0,6,181.0,110.0,2945.0,16.4,82,1
387,38.0,6,262.0,85.0,3015.0,17.0,82,1
388,26.0,4,156.0,92.0,2585.0,14.5,82,1
389,22.0,6,232.0,112.0,2835.0,14.7,82,1
390,32.0,4,144.0,96.0,2665.0,13.9,82,3
391,36.0,4,135.0,84.0,2370.0,13.0,82,1
392,27.0,4,151.0,90.0,2950.0,17.3,82,1
393,27.0,4,140.0,86.0,2790.0,15.6,82,1
394,44.0,4,97.0,52.0,2130.0,24.6,82,2
395,32.0,4,135.0,84.0,2295.0,11.6,82,1
396,28.0,4,120.0,79.0,2625.0,18.6,82,1
397,31.0,4,119.0,82.0,2720.0,19.4,82,1
